site_id,variable,function,location,witness_kinds,derivation_families,derivation_names,triggers,pointer_names,poc_status,poc_source,poc_id,runner,script_path,script_tracked,evidence,notes
start_document_try:self:ruby/ext/psych/psych_emitter.c:151,self,start_document_try,ruby/ext/psych/psych_emitter.c:151:11:151:14,intra_pointer_use,other|typed_data,<expr>|TypedData_Get_Struct|rb_check_typeddata,rb_str_export_to_enc,emitter,candidate,candidate_runner,start_document_try,tools/poc/poc_missing_candidates_runner.rb,,,"",""
make_inspectname:service:ruby/ext/socket/raddrinfo.c:1334,service,make_inspectname,ruby/ext/socket/raddrinfo.c:1334:36:1334:42,passed_to_trigger,string,<expr>|StringValueCStr|rb_string_value_cstr,rb_str_catf,<direct>,candidate,candidate_runner,make_inspectname,tools/poc/poc_missing_candidates_runner.rb,,,"",""
addrinfo_inspect:name:ruby/ext/socket/raddrinfo.c:1966,name,addrinfo_inspect,ruby/ext/socket/raddrinfo.c:1966:15:1966:18,passed_to_trigger,string,<expr>|StringValueCStr|rb_string_value_cstr,rb_str_catf,<direct>,candidate,candidate_runner,addrinfo_inspect,tools/poc/poc_missing_candidates_runner.rb,,,"",""
addrinfo_inspect:name:ruby/ext/socket/raddrinfo.c:1971,name,addrinfo_inspect,ruby/ext/socket/raddrinfo.c:1971:15:1971:18,passed_to_trigger,string,<expr>|StringValueCStr|rb_string_value_cstr,rb_str_catf,<direct>,candidate,candidate_runner,addrinfo_inspect,tools/poc/poc_missing_candidates_runner.rb,,,"",""
rsock_init_unixsock:io:ruby/ext/socket/unixsocket.c:75,io,rsock_init_unixsock,ruby/ext/socket/unixsocket.c:75:11:75:12,intra_pointer_use,other,<expr>|RB_IO_POINTER|rb_io_check_closed,rb_str_new_frozen,fptr,candidate,candidate_runner,rsock_init_unixsock,tools/poc/poc_missing_candidates_runner.rb,,,"",""
deflate_run:src:ruby/ext/zlib/zlib.c:1737,src,deflate_run,ruby/ext/zlib/zlib.c:1737:11:1737:13,passed_to_trigger,string,<expr>|RSTRING_PTR,zstream_run,<direct>,candidate,standalone_script,zlib_deflate_stream_compactfree,,tools/poc/poc_zlib_deflate_stream_compactfree.rb,yes,"",""
do_deflate:src:ruby/ext/zlib/zlib.c:1792,src,do_deflate,ruby/ext/zlib/zlib.c:1792:37:1792:39,passed_to_trigger,string,<expr>|RSTRING_PTR,zstream_run,<direct>,candidate,standalone_script,zlib_deflate_stream_compactfree,,tools/poc/poc_zlib_deflate_stream_compactfree.rb,yes,"",""
inflate_run:src:ruby/ext/zlib/zlib.c:2065,src,inflate_run,ruby/ext/zlib/zlib.c:2065:11:2065:13,passed_to_trigger,string,<expr>|RSTRING_PTR,zstream_run,<direct>,candidate,standalone_script,zlib_inflate_stream_compactfree,,tools/poc/poc_zlib_inflate_stream_compactfree.rb,yes,"",""
do_inflate:src:ruby/ext/zlib/zlib.c:2118,src,do_inflate,ruby/ext/zlib/zlib.c:2118:37:2118:39,passed_to_trigger,string,<expr>|RSTRING_PTR,zstream_run,<direct>,candidate,standalone_script,zlib_inflate_stream_compactfree,,tools/poc/poc_zlib_inflate_stream_compactfree.rb,yes,"",""
rb_gzreader_s_zcat:tmpbuf:ruby/ext/zlib/zlib.c:3974,tmpbuf,rb_gzreader_s_zcat,ruby/ext/zlib/zlib.c:3974:35:3974:40,passed_to_trigger,string,<expr>|RSTRING_PTR,rb_str_cat,<direct>,candidate,candidate_runner,rb_gzreader_s_zcat,tools/poc/poc_missing_candidates_runner.rb,,,"",""
zlib_gzip_run:src:ruby/ext/zlib/zlib.c:4627,src,zlib_gzip_run,ruby/ext/zlib/zlib.c:4627:11:4627:13,passed_to_trigger,string,<expr>|RSTRING_PTR,zstream_run,ptr,candidate,standalone_script,zlib_gzip_run_compactfree,,tools/poc/poc_zlib_gzip_run_compactfree.rb,yes,"",""
argf_next_argv:r_stdout:ruby/io.c:10110,r_stdout,argf_next_argv,ruby/io.c:10110:11:10110:18,intra_pointer_use,other,<expr>|GetOpenFile|RB_IO_POINTER|rb_io_check_closed,rb_str_append|rb_str_cat_conv_enc_opts|rb_str_dup,fptr,candidate,candidate_runner,argf_next_argv,tools/poc/poc_missing_candidates_runner.rb,,,"",""
open_key_args:v:ruby/io.c:11964,v,open_key_args,ruby/io.c:11964:17:11964:17,passed_to_trigger,array,<expr>|RARRAY_CONST_PTR|rb_array_const_ptr,rb_scan_args_kw|rb_scan_args_set,<direct>,confirmed,true_runner,open_key_args,tools/poc/poc_true_missings_runner.rb,,,crash SIGSEGV in IO.read,""
rb_io_getline_1:io:ruby/io.c:4271,io,rb_io_getline_1,ruby/io.c:4271:56:4271:57,intra_pointer_use,other,<expr>|GetOpenFile|RB_IO_POINTER|rb_io_check_closed,rb_io_getline_0,fptr,candidate,candidate_runner,rb_io_getline_1,tools/poc/poc_missing_candidates_runner.rb,,,"",""
io_buffer_set_string:string:ruby/io_buffer.c:2613,string,io_buffer_set_string,ruby/io_buffer.c:2613:11:2613:16,passed_to_trigger,string,<expr>|RSTRING_PTR,io_buffer_copy_from,source_base,confirmed,true_runner,io_buffer_set_string,tools/poc/poc_true_missings_runner.rb,,,crash SIGSEGV in IO::Buffer#set_string,""
rb_io_buffer_map:instance:ruby/io_buffer.c:627,instance,rb_io_buffer_map,ruby/io_buffer.c:627:11:627:18,intra_pointer_use,other|typed_data,<expr>|TypedData_Get_Struct|rb_check_typeddata,rb_io_descriptor,buffer,candidate,candidate_runner,rb_io_buffer_map,tools/poc/poc_missing_candidates_runner.rb,,,"",""
search_required:fname:ruby/load.c:1055,fname,search_required,ruby/load.c:1055:36:1055:40,intra_pointer_use|passed_to_trigger,string,<expr>|RSTRING_PTR,... ? ... : ...|rb_filesystem_str_new_cstr|rb_find_file|rb_find_file_ext|rb_str_dup|rb_str_subseq,<direct>|ftptr,candidate,candidate_runner,search_required,tools/poc/poc_missing_candidates_runner.rb,,,"",""
search_required:tmp:ruby/load.c:1057,tmp,search_required,ruby/load.c:1057:11:1057:13,passed_to_trigger,string,<expr>|RSTRING_PTR,rb_filesystem_str_new_cstr,ftptr,candidate,candidate_runner,search_required,tools/poc/poc_missing_candidates_runner.rb,,,"",""
r_bytes1_buffered:tmp:ruby/marshal.c:1460,tmp,r_bytes1_buffered,ruby/marshal.c:1460:15:1460:17,passed_to_trigger,string,<expr>|RSTRING_PTR,rb_str_cat,<direct>,candidate,candidate_runner,r_bytes1_buffered,tools/poc/poc_missing_candidates_runner.rb,,,"",""
w_object:v:ruby/marshal.c:886,v,w_object,ruby/marshal.c:886:15:886:15,passed_to_trigger,string,<expr>|RSTRING_PTR,w_bytes,<direct>,candidate,candidate_runner,w_object,tools/poc/poc_missing_candidates_runner.rb,,,"",""
pack_pack:buf:ruby/pack.c:739,buf,pack_pack,ruby/pack.c:739:23:739:25,passed_to_trigger,string,<expr>|RSTRING_PTR,rb_str_cat,<direct>,candidate,candidate_runner,pack_pack,tools/poc/poc_missing_candidates_runner.rb,,,"",""
qpencode:from:ruby/pack.c:856,from,qpencode,ruby/pack.c:856:27:856:30,intra_pointer_use,string,<expr>|RSTRING_PTR,rb_str_cat,s,candidate,candidate_runner,qpencode,tools/poc/poc_missing_candidates_runner.rb,,,"",""
extract_options:filepath:ruby/prism/extension.c:215,filepath,extract_options,ruby/prism/extension.c:215:46:215:53,passed_to_trigger,string,<expr>|RSTRING_PTR,pm_options_filepath_set,<direct>,candidate,candidate_runner,extract_options,tools/poc/poc_missing_candidates_runner.rb,,,"",""
proc_binding:bindval:ruby/proc.c:3519,bindval,proc_binding,ruby/proc.c:3519:11:3519:17,intra_pointer_use,other,<expr>|DATA_PTR,rb_iseq_pathobj_new,bind,candidate,candidate_runner,proc_binding,tools/poc/poc_missing_candidates_runner.rb,,,"",""
curry:passed:ruby/proc.c:3608,passed,curry,ruby/proc.c:3608:17:3608:22,passed_to_trigger,array,<expr>|RARRAY_CONST_PTR|rb_array_const_ptr,rb_proc_call_with_block,<direct>,candidate,candidate_runner,curry,tools/poc/poc_missing_candidates_runner.rb,,,"",""
rb_proc_compose_to_left:g:ruby/proc.c:3786,g,rb_proc_compose_to_left,ruby/proc.c:3786:43:3786:43,intra_pointer_use,other,<expr>|DATA_PTR,rb_proc_new,procp,candidate,candidate_runner,rb_proc_compose_to_left,tools/poc/poc_missing_candidates_runner.rb,,,"",""
rb_exec_fillarg:argv_buf:ruby/process.c:2677,argv_buf,rb_exec_fillarg,ruby/process.c:2677:19:2677:26,passed_to_trigger,string,<expr>|RSTRING_PTR,rb_str_subseq,<direct>,candidate,candidate_runner,rb_exec_fillarg,tools/poc/poc_missing_candidates_runner.rb,,,"",""
rb_exec_fillarg:arg:ruby/process.c:2717,arg,rb_exec_fillarg,ruby/process.c:2717:19:2717:21,intra_pointer_use|passed_to_trigger,string,<expr>|StringValueCStr|rb_string_value_cstr,rb_str_cat,s,candidate,candidate_runner,rb_exec_fillarg,tools/poc/poc_missing_candidates_runner.rb,,,"",""
rb_execarg_parent_start1:envp_buf:ruby/process.c:2895,envp_buf,rb_execarg_parent_start1,ruby/process.c:2895:33:2895:40,passed_to_trigger,string,<expr>|RSTRING_PTR,rb_str_cat,p,candidate,candidate_runner,rb_execarg_parent_start1,tools/poc/poc_missing_candidates_runner.rb,,,"",""
rb_reg_prepare_re:str:ruby/re.c:1635,str,rb_reg_prepare_re,ruby/re.c:1635:35:1635:37,intra_pointer_use,other,<expr>|rb_reg_prepare_enc,rb_reg_preprocess,enc,candidate,candidate_runner,rb_reg_prepare_re,tools/poc/poc_missing_candidates_runner.rb,,,"",""
rb_reg_regsub:src:ruby/re.c:4442,src,rb_reg_regsub,ruby/re.c:4442:32:4442:34,passed_to_trigger,string,<expr>|RSTRING_PTR,rb_enc_str_buf_cat,<direct>,candidate,standalone_script,rb_reg_regsub_compactfree,,tools/poc/poc_rb_reg_regsub_compactfree.rb,yes,"",""
rjit_str_simple_append:str2:ruby/rjit_c.c:180,str2,rjit_str_simple_append,ruby/rjit_c.c:180:42:180:45,passed_to_trigger,string,<expr>|RSTRING_PTR,rb_str_cat,<direct>,candidate,standalone_script,rb_yjit_str_simple_append_compactfree,,tools/poc/poc_rb_yjit_str_simple_append_compactfree.rb,yes,"",""
process_sflag:argv:ruby/ruby.c:816,argv,process_sflag,ruby/ruby.c:816:15:816:18,intra_pointer_use,array,<expr>|RARRAY_CONST_PTR|rb_array_const_ptr,... ? ... : ...|rb_str_cat,args,candidate,candidate_runner,process_sflag,tools/poc/poc_missing_candidates_runner.rb,,,"",""
process_sflag:v:ruby/ruby.c:821,v,process_sflag,ruby/ruby.c:821:19:821:19,intra_pointer_use|passed_to_trigger,string,<expr>|StringValuePtr|rb_string_value_ptr,... ? ... : ...|rb_str_cat,s,candidate,candidate_runner,process_sflag,tools/poc/poc_missing_candidates_runner.rb,,,"",""
rb_parser_lex_get_str:s:ruby/ruby_parser.c:622,s,rb_parser_lex_get_str,ruby/ruby_parser.c:622:11:622:11,passed_to_trigger,string,<expr>|RSTRING_PTR,rb_str_subseq,beg,candidate,candidate_runner,rb_parser_lex_get_str,tools/poc/poc_missing_candidates_runner.rb,,,"",""
enc_str_scrub:repl:ruby/string.c:11534,repl,enc_str_scrub,ruby/string.c:11534:50:11534:53,passed_to_trigger,string,<expr>|RSTRING_PTR,rb_str_buf_cat,<direct>|rep,candidate,candidate_runner,enc_str_scrub,tools/poc/poc_missing_candidates_runner.rb,,,"",""
str_replace_shared_without_enc:str:ruby/string.c:1401,str,str_replace_shared_without_enc,ruby/string.c:1401:50:1401:52,intra_pointer_use,string,<expr>|RSTRING_GETMEM|rbimpl_rstring_getmem,rb_str_new_frozen,ptr,candidate,candidate_runner,str_replace_shared_without_enc,tools/poc/poc_missing_candidates_runner.rb,,,"",""
rb_str_format_m:tmp:ruby/string.c:2555,tmp,rb_str_format_m,ruby/string.c:2555:11:2555:13,passed_to_trigger,array,<expr>|RARRAY_CONST_PTR|rb_array_const_ptr,rb_str_format,<direct>,confirmed,true_runner,rb_str_format_m,tools/poc/poc_true_missings_runner.rb,,,crash SIGSEGV in String#%,""
rb_str_enumerate_lines:rs:ruby/string.c:9470,rs,rb_str_enumerate_lines,ruby/string.c:9470:17:9470:18,intra_pointer_use,string,<expr>|RSTRING_PTR,enumerator_element|rb_str_subseq,rsptr,candidate,candidate_runner,rb_str_enumerate_lines,tools/poc/poc_missing_candidates_runner.rb,,,"",""
rb_struct_alloc:values:ruby/struct.c:837,values,rb_struct_alloc,ruby/struct.c:837:36:837:41,passed_to_trigger,array,<expr>|RARRAY_CONST_PTR|rb_array_const_ptr,rb_class_new_instance,<direct>,candidate,candidate_runner,rb_struct_alloc,tools/poc/poc_missing_candidates_runner.rb,,,"",""
str_transcode0:str:ruby/transcode.c:2740,str,str_transcode0,ruby/transcode.c:2740:11:2740:13,intra_pointer_use,string,<expr>|RSTRING_PTR,rb_str_tmp_new,sp,confirmed,true_runner,str_transcode0,tools/poc/poc_true_missings_runner.rb,,,corruption in String#encode,""
location_format:name:ruby/vm_backtrace.c:445,name,location_format,ruby/vm_backtrace.c:445:47:445:50,passed_to_trigger,string,<expr>|RSTRING_PTR,rb_str_catf,<direct>,candidate,standalone_script,location_format_compactfree_check,,tools/poc/poc_location_format_compactfree_check.rb,yes,"",""
rb_yjit_str_simple_append:str2:ruby/yjit.c:788,str2,rb_yjit_str_simple_append,ruby/yjit.c:788:45:788:48,passed_to_trigger,string,<expr>|RSTRING_PTR,rb_str_cat,<direct>,candidate,candidate_runner,rb_yjit_str_simple_append,tools/poc/poc_missing_candidates_runner.rb,,,"",""
